t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784662882.642836,0.2000,59.8349,2.410549e+11,9.662880e+11,9.662152e+11,0,68,17
1784662882.842836,0.2000,59.9030,2.409411e+11,1.150136e+12,1.149246e+12,15,66,17
1784662883.042836,0.2000,60.0551,2.407962e+11,1.262165e+12,1.261356e+12,21,68,17
1784662883.242836,0.2000,59.2644,2.408622e+11,9.648665e+11,9.648665e+11,0,68,17
1784662883.442836,0.2000,59.2454,2.409292e+11,9.653353e+11,9.653353e+11,0,68,17
1784662883.642836,0.2000,60.2817,2.407861e+11,1.205402e+12,1.204723e+12,18,67,17
1784662883.842836,0.2000,60.0884,2.408109e+11,9.645068e+11,9.645068e+11,0,68,17
1784662884.042836,0.2000,59.4483,2.408769e+11,9.649692e+11,9.649692e+11,0,68,17
1784662884.242836,0.2000,58.7032,2.409430e+11,9.654317e+11,9.654317e+11,0,68,17
1784662884.442836,0.2000,59.3594,2.410100e+11,9.659005e+11,9.659005e+11,0,68,17
1784662884.642836,0.2000,59.4060,2.410760e+11,9.663629e+11,9.663629e+11,0,68,17
1784662884.842836,0.2000,59.4626,2.411421e+11,9.668253e+11,9.668253e+11,0,68,17
1784662885.042836,0.2000,59.6831,2.412081e+11,9.672878e+11,9.672878e+11,0,68,17
1784662885.242836,0.2000,59.8585,2.412742e+11,9.677502e+11,9.677502e+11,0,68,17
1784662885.442836,0.2000,59.2084,2.411164e+11,1.720085e+12,1.716096e+12,54,67,17
1784662885.642837,0.2000,58.4725,2.411769e+11,9.670694e+11,9.670694e+11,0,68,17
1784662885.842836,0.2000,59.3291,2.410072e+11,1.193245e+12,1.192130e+12,17,67,17
1784662886.042837,0.2000,59.4646,2.408053e+11,1.234023e+12,1.233139e+12,20,67,17
1784662886.242836,0.2000,59.6165,2.408751e+11,9.649564e+11,9.649564e+11,0,68,17
1784662886.442837,0.2000,60.2989,2.408320e+11,1.943822e+12,1.940354e+12,73,64,17
1784662886.642837,0.2000,59.8229,2.406255e+11,1.756856e+12,1.755081e+12,58,66,17
1784662886.842837,0.2000,59.6560,2.406026e+11,1.133031e+12,1.132736e+12,13,67,17
1784662887.042837,0.2000,59.9504,2.406668e+11,9.634985e+11,9.634985e+11,0,68,17
1784662887.242837,0.2000,60.0906,2.407329e+11,9.639609e+11,9.639609e+11,0,68,17
1784662887.442837,0.2000,59.1868,2.407989e+11,9.644233e+11,9.644233e+11,0,68,17
1784662887.642837,0.2000,59.2924,2.408402e+11,1.404511e+12,1.403070e+12,32,67,17
1784662887.842837,0.2000,58.8411,2.408402e+11,1.163437e+12,1.162680e+12,15,67,17
1784662888.042837,0.2000,59.5357,2.550652e+11,1.021865e+12,1.021865e+12,0,72,18
1784662888.242837,0.2000,60.3107,2.409632e+11,9.655730e+11,9.655730e+11,0,68,17
1784662888.442837,0.2000,59.4103,2.410292e+11,9.660354e+11,9.660354e+11,0,68,17
1784662888.642837,0.2000,59.3302,2.410962e+11,9.665042e+11,9.665042e+11,0,68,17
1784662888.842837,0.2000,59.7092,2.411632e+11,9.669731e+11,9.669731e+11,0,68,17
1784662889.042837,0.2000,59.6948,2.409888e+11,1.221485e+12,1.220283e+12,19,67,17
1784662889.242837,0.2000,59.9061,2.410439e+11,9.661381e+11,9.661381e+11,0,68,17
1784662889.442837,0.2000,60.0947,2.410512e+11,1.193404e+12,1.192439e+12,17,67,17
1784662889.642838,0.2000,59.6854,2.409292e+11,9.653353e+11,9.653353e+11,0,68,17
1784662889.842837,0.2000,59.7641,2.408145e+11,1.106372e+12,1.105938e+12,11,67,17
1784662890.042838,0.2000,59.9198,2.407953e+11,9.503020e+11,9.502571e+11,0,67,17
1784662890.242837,0.2000,60.2591,2.407852e+11,1.318805e+12,1.317841e+12,25,68,17
1784662890.442838,0.2000,59.3276,2.408512e+11,9.647894e+11,9.647894e+11,0,68,17
1784662890.642838,0.2000,59.5085,2.409173e+11,9.652518e+11,9.652518e+11,0,68,17
1784662890.842838,0.2000,59.3169,2.407916e+11,8.088685e+11,8.088257e+11,0,57,17
1784662891.042838,0.2000,58.6331,2.407631e+11,7.237831e+11,7.237831e+11,0,51,17
1784662891.242838,0.2000,58.7141,2.407219e+11,5.821494e+11,5.820884e+11,0,41,17
1784662891.442838,0.2000,58.0012,2.407108e+11,4.830273e+11,4.830273e+11,0,34,17
1784662891.642838,0.2000,58.1170,2.407439e+11,4.832585e+11,4.832585e+11,0,34,17
1784662891.842838,0.2000,58.0304,2.407778e+11,4.834962e+11,4.834962e+11,0,34,17
1784662892.042838,0.2000,58.5194,2.408109e+11,4.837274e+11,4.837274e+11,0,34,17
1784662892.242838,0.2000,58.4158,2.408439e+11,4.839586e+11,4.839586e+11,0,34,17
1784662892.442838,0.2000,57.9484,2.408457e+11,4.699272e+11,4.698309e+11,0,33,17
1784662892.642838,0.2000,59.4166,2.406283e+11,2.420596e+11,2.420596e+11,0,17,17
1784662892.842838,0.2000,59.5578,2.406448e+11,2.421752e+11,2.421752e+11,0,17,17
1784662893.008539,0.1314,39.2044,1.698594e+11,1.708943e+11,1.708943e+11,0,12,12
