t,energy_mj,p_inst_w,p_avg_w,sm_mhz,mem_mhz,temp_c,reasons,on
1790294567.8359628,27263057083.0,107.538,100.345,210,7601,44,4,1
1790294567.8459563,27263057083.0,107.538,100.345,210,7601,44,4,1
1790294567.8632543,27263057083.0,107.538,100.345,210,7601,44,4,1
1790294567.8733277,27263057083.0,107.538,100.345,210,7601,44,4,1
1790294567.8838284,27263057083.0,129.321,100.924,210,7601,44,4,1
1790294567.8939016,27263057083.0,129.321,100.924,210,7601,44,4,1
1790294567.9038906,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.917541,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9276083,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9376028,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9476128,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9619887,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9720583,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9820533,27263061093.0,129.321,100.924,210,7601,44,4,1
1790294567.9920626,27263061093.0,118.154,100.31,210,7601,44,4,1
1790294568.005061,27263061093.0,118.154,100.31,210,7601,44,4,1
1790294568.015135,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.0256426,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.0357144,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.0457056,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.0561445,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.066202,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.078694,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.0887659,27263064608.0,118.154,100.31,210,7601,44,4,1
1790294568.0987556,27263064608.0,115.278,100.072,210,7601,44,4,1
1790294568.1106968,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.124517,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.1345885,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.144581,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.1561806,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.1662383,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.1762502,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.186245,27263067148.0,115.278,100.072,210,7601,44,4,1
1790294568.2035923,27263067148.0,120.49000000000001,100.378,210,7601,44,4,1
1790294568.213662,27263069294.0,120.49000000000001,100.378,210,7601,44,4,0
1790294568.22366,27263069294.0,120.49000000000001,100.378,210,7601,44,4,0
1790294568.2336643,27263069294.0,120.49000000000001,100.378,210,7601,43,4,0
