gpu,model,task,conc,rate,realized_bw,mbu,jbyte_direct,tok_s,p_avg,idle,weight_bytes_per_bin,run_dir
B200,Mistral-7B-v0.1,sharegpt,1,,2461813655441.9033,0.3077267069302379,1.2366461121706597e-10,171.9213078277891,542.2427111209571,237.822,489896767797.3568,logs/B200/Mistral-7B-v0.1/sharegpt_c1
B200,Mistral-7B-v0.1,sharegpt,16,,2209979083141.08,0.276247385392635,1.4146454871852696e-10,2312.2145127619306,550.1608249027237,237.822,422006479523.8095,logs/B200/Mistral-7B-v0.1/sharegpt_c16
B200,Mistral-7B-v0.1,sharegpt,4,,2093867001276.9226,0.2617333751596153,1.3079329118957577e-10,93.42154362500345,256.9294049217002,237.822,414955293076.9231,logs/B200/Mistral-7B-v0.1/sharegpt_c4
B200,Mistral-7B-v0.1,sharegpt,64,,2177956062170.604,0.27224450777132553,2.0079414579748792e-10,8127.457392368886,675.1424319450408,237.822,370839089871.2446,logs/B200/Mistral-7B-v0.1/sharegpt_c64
B200,Qwen2-7B-Instruct,alpaca,1,,2602934920593.6597,0.3253668650742075,1.2438338908392957e-10,182.79661225134552,560.8941227074235,237.1,519450863043.4783,logs/B200/Qwen2-7B-Instruct/alpaca_c1
B200,Qwen2-7B-Instruct,alpaca,16,,2343519507504.1484,0.2929399384380186,1.3886730480949187e-10,2567.1210698544164,562.5149156263452,237.1,464454051072.96136,logs/B200/Qwen2-7B-Instruct/alpaca_c16
B200,Qwen2-7B-Instruct,alpaca,4,,2427346771605.871,0.3034183464507339,1.288610936336408e-10,668.6994074616396,549.8984239012773,237.1,483522203017.2414,logs/B200/Qwen2-7B-Instruct/alpaca_c4
B200,Qwen2-7B-Instruct,alpaca,64,,2187473220880.3765,0.27343415261004705,1.8485554289316767e-10,9312.38943642001,641.5998817574845,237.1,422153696995.7081,logs/B200/Qwen2-7B-Instruct/alpaca_c64
B200,Qwen2-7B-Instruct,sharegpt,1,,2582180048964.122,0.3227725061205153,1.260407370878203e-10,181.65782257984105,562.5586075949367,237.1,515254934070.79645,logs/B200/Qwen2-7B-Instruct/sharegpt_c1
B200,Qwen2-7B-Instruct,sharegpt,16,,2086728698111.111,0.2608410872638889,1.6789216020559766e-10,91.0436557749791,212.88473725131487,237.1,408505385555.55554,logs/B200/Qwen2-7B-Instruct/sharegpt_c16
B200,Qwen2-7B-Instruct,sharegpt,4,,2418432282408.867,0.3023040353011084,1.3087663468081842e-10,600.7089596257914,530.6843312799452,237.1,481754635960.5911,logs/B200/Qwen2-7B-Instruct/sharegpt_c4
B200,Qwen2-7B-Instruct,sharegpt,64,,2167892293275.8618,0.27098653665948275,2.01942643654373e-10,8886.833383136915,674.9265692374163,237.1,403189132327.5862,logs/B200/Qwen2-7B-Instruct/sharegpt_c64
B200,Qwen2.5-32B-Instruct,alpaca,1,,4036600294829.686,0.5045750368537107,1.2509183277516398e-10,62.710214672974935,746.6546166214241,241.696,803718852282.1577,logs/B200_32B/Qwen2.5-32B-Instruct/alpaca_c1
